Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Violent,Personal Violence,Assault,HORSEHILLS RD/MERIDIAN ST,11631,2025/01/02,-12617347.8084,7107974.8372
Non-Violent,Property,Theft Over $5000,102 AV/136 ST,11632,2025/01/01,-12641031.8369,7084083.6472
Violent,Personal Violence,Assault,KINGSWAY /KINGSWAY ,11633,2025/01/02,-12634696.9979,7086642.5976
Non-Violent,Property,Theft Under $5000,82 ST/FORT RD,11634,2025/01/02,-12631125.4653,7089020.0073
Disorder,Disputes/Disturbances,Dispute,52 ST/55 ST,11635,2025/01/03,-12626148.8978,7068074.5809
Non-Violent,Property,Break and Enter Residential,102 AV/107 ST,11636,2025/01/03,-12635290.924,7084079.3004
Non-Violent,Property,Break and Enter Commercial,107 AV/99 ST,11644,2025/01/01,-12633795.4284,7085581.5558
Non-Violent,Property,Break and Enter Residential,53 AV/53 AV,11650,2025/01/01,-12653739.0129,7073926.3558
Non-Violent,Abandoned/Recovered/Seized Vehicles,Abandoned Vehicle,114A ST/161 AV,11651,2025/01/01,-12637218.2039,7098965.2135
Disorder,Provincial Statute Violations,Intoxicated Person,111 ST/111 ST,11655,2025/01/01,-12636109.4864,7084636.9982
Violent,Personal Violence,Assault,100 ST/106 AV,11656,2025/01/01,-12633861.7194,7085368.8038
Disorder,General Disorder,Trouble with Person,MAPLE RIDGE DR/RIM RD,11662,2025/01/01,-12619370.5368,7076326.64549999
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,JASPER AV/109 ST,11665,2025/01/01,-12635701.7917,7083690.5436
Disorder,General Disorder,Trespassing,45 AV/GATEWAY BV,11667,2025/01/01,-12633876.597,7072866.2125
Violent,Personal Violence,Assault,16A AV SW/SPENCE WN SW,11669,2025/01/01,-12630301.1094,7060794.0899
Disorder,Provincial Statute Violations,Intoxicated Person,100 ST/105A AV,11672,2025/01/01,-12633845.0477,7085163.5066
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,132 AV/133 AV,11673,2025/01/01,-12625131.9781,7093614.4012
Disorder,Provincial Statute Violations,Intoxicated Person,114 AV/85 ST,11674,2025/01/01,-12631623.5065,7088061.8432
Disorder,Mischief/Graffiti,Mischief - Property,COLONEL MEWBURN RD/MCCRAE AV,11675,2025/01/02,-12636362.9557,7096998.7378
Disorder,Provincial Statute Violations,Intoxicated Person,SOUTHGATE TC/SOUTHGATE TC,11676,2025/01/01,-12636580.8627,7073133.1787
Disorder,Mischief/Graffiti,Mischief - Property,117B AV/127 ST,11678,2025/01/01,-12639346.1927,7089095.3061
Non-Violent,Property,Break and Enter Residential,116A AV/29 ST,11679,2025/01/02,-12622246.6139,7088872.7448
Disorder,General Disorder,Trouble with Person,126B AV/126B AV,11681,2025/01/01,-12624308.958,7091852.7386
Disorder,Mischief/Graffiti,Mischief - Property,114 ST/87 AV,11682,2025/01/02,-12637607.1698,7080313.2322
Weapons,Weapons Violations,Weapons Complaint,123A ST/161 AV,11683,2025/01/02,-12638664.7223,7098904.5292
Non-Violent,Property,Theft Under $5000,CASTLE DOWNS TC/CASTLE DOWNS TC,11684,2025/01/02,-12636602.9539,7097800.49
Non-Violent,Property,Break and Enter Residential,80 AV/80 AV,11685,2025/01/01,-12656460.6045,7078515.5231
Non-Violent,Property,Theft Under $5000,82 AV/83 ST,11686,2025/01/01,-12629840.8118,7079411.5633
Disorder,Mischief/Graffiti,Mischief - Property,115 AV/68 ST,11687,2025/01/01,-12628645.2411,7088785.9014
Non-Violent,Property,Break and Enter Commercial,105 ST/99 AV,11688,2025/01/01,-12634882.6416,7082999.6645
Non-Violent,Property,Theft Under $5000,137 AV/50 ST,11689,2025/01/02,-12625108.1321,7094280.4437
Disorder,General Disorder,Trespassing,85 ST/93 AV,11690,2025/01/01,-12630051.4911,7081500.0517
Disorder,Mischief/Graffiti,Mischief - Property,102 AV/103 ST,11691,2025/01/02,-12634473.8485,7084079.0589
Non-Violent,Property,Possession Stolen Property,107 AV/107 AV,11692,2025/01/02,-12647348.0994,7085989.7043
Non-Violent,Property,Internet Fraud,120 AV/82 ST,11728,2025/01/04,-12631122.7099,7089801.5338
Non-Violent,Property,Theft Under $5000,70 AV/93 ST,11729,2025/01/04,-12631466.9784,7077257.8475
Non-Violent,Property,Theft of Motor Vehicle,25 AV/106A ST,11731,2025/01/04,-12635133.1779,7067849.3581
Non-Violent,Property,Theft of Motor Vehicle,109 AV/111 ST,11732,2025/01/04,-12636111.2451,7086247.4789
Non-Violent,Property,Break and Enter Commercial,231 ST/231 ST,11733,2025/01/01,-12658525.0528,7079381.0274
Non-Violent,Property,Fraud General,105 ST/79 AV,11735,2025/01/04,-12634813.53,7078865.5929
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,11736,2025/01/04,-12637398.478,7088630.7819
Violent,Personal Violence,Assault,CALGARY TR/CALGARY TR,11737,2025/01/04,-12634087.1592,7074336.6613
Violent,Personal Violence,Assault,100 ST/106 AV,11738,2025/01/04,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,ST ALBERT TR/SHERBROOKE AV,11739,2025/01/04,-12640745.6132,7090485.8585
Disorder,General Disorder,Trespassing,114 ST/JASPER AV,11740,2025/01/04,-12636727.4348,7083692.3369
Non-Violent,Property,Theft Under $5000,5 AV SW/5 AV SW,11742,2025/01/04,-12627793.2619,7062607.2324
Disorder,General Disorder,Suspicious Person,37 ST/43 AV,11743,2025/01/04,-12623403.7226,7072363.0739
Non-Violent,Property,Theft Under $5000,103 ST/103 AV,11744,2025/01/04,-12634471.7615,7084375.3343
Disorder,General Disorder,Trouble with Person,SCOTT CR/SCOTT LN,11745,2025/01/04,-12644147.0704,7064021.8185
Non-Violent,Property,Theft Under $5000,75 ST/WAGNER RD,11747,2025/01/02,-12628383.1374,7076305.7966
Disorder,General Disorder,Trespassing,124 AV/77 ST,11748,2025/01/05,-12630307.7229,7090982.2473
Non-Violent,Property,Theft of Motor Vehicle,73 AV/75 ST,11749,2025/01/05,-12628398.3147,7077795.4755
Non-Violent,Property,Theft Over $5000,19 AV/19 AV,11750,2025/01/04,-12633595.182,7066077.8815
Violent,Personal Violence,Assault,140 AV/140 AV,11751,2025/01/05,-12625620.9334,7095477.1315
Non-Violent,Property,Theft Under $5000,180 AV/85 ST,11802,2025/01/03,-12631578.6553,7102654.1956
Non-Violent,Property,Theft Over $5000,ELLERSLIE RD SW/50 ST SW,11803,2025/01/06,-12625606.973,7061942.374
Non-Violent,Property,Theft Under $5000,84 ST/ROPER RD,11845,2025/01/07,-12628893.4541,7074273.1561
Violent,Personal Violence,Assault,62 ST/GRAND MEADOW CR,11846,2025/01/07,-12627325.3113,7071717.8358
Non-Violent,Property,Break and Enter Residential,171 ST/71 AV,11847,2025/01/08,-12647808.7428,7077050.07989999
Non-Violent,Property,Break and Enter Commercial,125A AV/55 ST,11848,2025/01/07,-12626533.129,7091540.97
Weapons,Weapons Violations,Weapons Complaint,124A AV/77 ST,11849,2025/01/07,-12630258.3514,7089339.966
Non-Violent,Property,Theft of Motor Vehicle,81 ST/86 AV,11850,2025/01/07,-12629429.5852,7080109.8401
Non-Violent,Property,Theft Under $5000,CAPILANO TC/CAPILANO TC,11851,2025/01/07,-12626105.9166,7083239.3573
Violent,Personal Violence,Robbery Personal,129 AV/129 AV,11852,2025/01/07,-12627680.7343,7092441.6713
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,11853,2025/01/08,-12636950.3814,7088310.2447
Violent,Personal Violence,Assault,100 ST/106 AV,11854,2025/01/07,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,CAMERON RAVINE CT/CAMERON RAVINE WY,11855,2025/01/08,-12649074.346,7070447.7437
Non-Violent,Property,Theft of Motor Vehicle,102 ST/84 AV,11856,2025/01/06,-12634103.8962,7079765.2535
Disorder,Provincial Statute Violations,Intoxicated Person,114 AV/89 ST,11857,2025/01/07,-12632330.7166,7088066.1933
Disorder,Provincial Statute Violations,Intoxicated Person,106 ST/108 AV,11858,2025/01/06,-12635086.9539,7085950.0532
Non-Violent,Property,Break and Enter Residential,WONNACOTT CT SW/WONNACOTT CT SW,11859,2025/01/08,-12627617.3566,7059976.6044
Disorder,Mischief/Graffiti,Mischief - Property,109 AV/38 ST,11860,2025/01/08,-12623627.4447,7087700.384
Violent,Personal Violence,Robbery Personal,87 AV/87 AV,11861,2025/01/07,-12645388.9344,7079661.38799999
Non-Violent,Property,Theft Under $5000,137 AV/132 ST,11862,2025/01/07,-12640202.8711,7094620.121
Non-Violent,Property,Theft Under $5000,23 AV/PARSONS RD,11927,2025/01/09,-12632521.2514,7067283.6591
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,11928,2025/01/09,-12624378.4956,7094314.4636
Non-Violent,Property,Theft of Motor Vehicle,53 ST/119 AV,11929,2025/01/02,-12626197.6185,7089493.3168
Violent,Personal Violence,Assault,50A ST/56 ST,11931,2025/01/02,-12625669.8204,7093324.1159
Disorder,General Disorder,Suspicious Vehicle,109 ST/168A AV,11932,2025/01/03,-12636053.0552,7100376.67
Non-Violent,Property,Possession Stolen Property,107 AV/108 ST,11933,2025/01/02,-12635496.6016,7085651.6523
Non-Violent,Property,Theft Under $5000,153 ST/STONY PLAIN RD,11934,2025/01/03,-12644228.7161,7083755.8177
Non-Violent,Property,Possession Stolen Property,100 ST/106 AV,11935,2025/01/03,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,11937,2025/01/03,-12636950.3814,7088310.2447
Non-Violent,Property,Theft of Motor Vehicle,142A AV/57 ST,11938,2025/01/03,-12626896.7866,7095711.4246
Non-Violent,Property,Theft Under $5000,118 AV/101 ST,11939,2025/01/02,-12634117.6609,7089084.2355
Non-Violent,Property,Break and Enter Commercial,99 ST/99 ST,11940,2025/01/03,-12633239.9499,7076109.5069
Disorder,General Disorder,Trespassing,137 AV/137 AV,11941,2025/01/03,-12641829.6613,7094578.7691
Disorder,Mischief/Graffiti,Mischief - Property,100A ST/102 ST,11943,2025/01/01,-12633907.6344,7084434.3366
Disorder,Mischief/Graffiti,Graffiti,100A ST/101A AV,11944,2025/01/03,-12633901.6117,7083917.9097
Non-Violent,Property,Fraud - Financial,CALGARY TR/CALGARY TR,11946,2025/01/02,-12634277.9192,7071279.2261
Non-Violent,Property,Theft Under $5000,FORTWAY DR/RIVER VALLEY RD,11947,2025/01/03,-12636233.7828,7082010.6249
Non-Violent,Property,Theft Under $5000,140 AV/140 AV,11948,2025/01/03,-12625620.9334,7095477.1315
Disorder,General Disorder,Trouble with Person,149 ST/98 AV,11949,2025/01/01,-12643444.6109,7082796.1043
Non-Violent,Property,Theft Under $5000,142A AV/57 ST,11950,2025/01/03,-12626896.7866,7095711.4246
Violent,Personal Violence,Assault,110 ST/175 AV,11951,2025/01/01,-12636238.2572,7101896.338
Non-Violent,Property,Theft Under $5000,52 ST/72A AV,11952,2025/01/03,-12625875.7719,7077631.8615
Non-Violent,Property,Theft Under $5000,YELLOWHEAD TR/YELLOWHEAD TR,11953,2025/01/03,-12622568.9402,7090452.1899
Non-Violent,Property,Theft Under $5000,123 ST/103 AV,11954,2025/01/03,-12638559.6633,7084377.949
Non-Violent,Property,Theft Under $5000,101 ST/83 AV,11955,2025/01/03,-12633791.9799,7079593.6357
Non-Violent,Property,Theft of Motor Vehicle,39 AV/93 ST,11956,2025/01/03,-12631796.5468,7071181.8533
Non-Violent,Property,Fraud - Financial,113 ST/172 AV,11957,2025/01/03,-12636765.9184,7101185.2472
Non-Violent,Property,Theft Under $5000,118 AV/34 ST,11958,2025/01/03,-12622930.4197,7089206.9916
Disorder,Disputes/Disturbances,Dispute,GRANTHAM CT/GRANTHAM CT,11959,2025/01/03,-12653903.3879,7077870.1956
Non-Violent,Property,Break and Enter Residential,KESWICK BV SW/KENNEDY CT SW,11960,2025/01/03,-12651071.9526,7061710.569
Violent,Personal Violence,Assault,101 ST/105A AV,11961,2025/01/03,-12634063.1299,7085140.6575
Disorder,General Disorder,Trespassing,155 ST/STONY PLAIN RD,11962,2025/01/03,-12644618.2398,7083756.6379
Disorder,Disputes/Disturbances,Dispute,58 AV/94A ST,11964,2025/01/03,-12631647.1987,7074886.6974
Non-Violent,Property,Break and Enter Residential,AD ASTRA BV/NEWSON RD,11965,2025/01/03,-12636211.8762,7096067.5462
Non-Violent,Property,Theft Under $5000,114 AV/WESTMOUNT SHOPPING CENTRE RD,11966,2025/01/03,-12640716.8938,7087948.6475
Disorder,General Disorder,Trouble with Person,118 AV/58 ST,11967,2025/01/03,-12627048.1984,7089204.559
Disorder,Disputes/Disturbances,Disturbance,118 AV/86 ST,11968,2025/01/03,-12631717.1974,7089209.3344
Disorder,General Disorder,Trespassing,110 ST/111 AV,11969,2025/01/03,-12635903.3934,7087023.0894
Violent,Personal Violence,Assault,12 AV/72 ST,11973,2025/01/03,-12628633.9399,7065452.0922
Non-Violent,Property,Break and Enter Residential,106 ST/45 AV,11974,2025/01/03,-12635255.4661,7072864.1713
Non-Violent,Property,Theft Under $5000,182 AV/75 ST,11975,2025/01/03,-12630050.9895,7103216.8327
Disorder,Provincial Statute Violations,Intoxicated Person,119 AV/70 ST,11977,2025/01/01,-12629101.8071,7089506.2764
Non-Violent,Property,Theft Under $5000,103 ST/98 AV,11979,2025/01/01,-12634477.2283,7082699.3354
Disorder,Disputes/Disturbances,Dispute,116A AV/29 ST,11981,2025/01/03,-12622246.6139,7088872.7448
Non-Violent,Property,Theft Under $5000,181 ST/96 AV,12046,2025/01/02,-12649927.9065,7081667.0755
Non-Violent,Property,Theft of Motor Vehicle,106 AV/116 ST,12047,2025/01/02,-12637134.5306,7085351.1397
Disorder,Mischief/Graffiti,Mischief - Property,108 ST/109 AV,12048,2025/01/02,-12635496.5519,7086247.8749
Non-Violent,Property,Fraud - Financial,126 ST/132 AV,12049,2025/01/01,-12639180.7888,7093296.045
Disorder,General Disorder,Trespassing,104 ST/76 AV,12050,2025/01/02,-12634501.5154,7078334.7118
Non-Violent,Property,Theft Under $5000,111 AV/92 ST,12051,2025/01/02,-12632831.5189,7087367.0811
Non-Violent,Property,Theft Under $5000,142 ST/162 AV,12052,2025/01/02,-12642519.0849,7099117.1273
Non-Violent,Property,Break and Enter Residential,123 AV/83 ST,12053,2025/01/02,-12631321.067,7090691.0935
Non-Violent,Property,Theft Under $5000,119 AV/64 ST,12054,2025/01/02,-12628069.7509,7089499.1739
Non-Violent,Property,Possession Stolen Property,53 AV/LESSARD DR,12055,2025/01/02,-12647877.7574,7074508.0489
Non-Violent,Property,Internet Fraud,165 ST/99A AV,12056,2025/01/02,-12646554.1725,7083214.1562
Non-Violent,Property,Break and Enter Commercial,111 AV/113 AV,12057,2025/01/02,-12654404.1308,7087004.2859
Non-Violent,Property,Fraud - Financial,23 AV/91 ST,12058,2025/01/01,-12631203.0888,7067095.3713
Non-Violent,Property,Internet Fraud,WATES PL SW/WATES LK SW,12059,2025/01/02,-12647862.6575,7063507.5205
Disorder,Mischief/Graffiti,Mischief - Property,JASPER AV/108 ST,12060,2025/01/02,-12635496.6847,7083689.0444
Non-Violent,Property,Theft Under $5000,17 ST/17 ST,12062,2025/01/02,-12620137.6654,7072474.5117
Disorder,Disputes/Disturbances,Dispute,100 AV/68 ST,12063,2025/01/02,-12627421.9253,7083558.5567
Non-Violent,Property,Break and Enter Residential,108 ST/70 AV,12065,2025/01/02,-12635802.4864,7077255.634
Non-Violent,Property,Break and Enter Commercial,133 AV/FORT RD,12067,2025/01/02,-12626862.335,7093503.3829
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,12068,2025/01/02,-12636950.3814,7088310.2447
Disorder,General Disorder,Trouble with Person,118 AV/57 ST,12069,2025/01/02,-12626878.0943,7089204.2819
Non-Violent,Property,Break and Enter Residential,123 AV/83 ST,12070,2025/01/02,-12631321.067,7090691.0935
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,18 AV/56 ST,12071,2025/01/02,-12626466.2296,7066358.6244
Violent,Personal Violence,Assault,111 ST/51 AV,12072,2025/01/10,-12636506.8662,7073805.7132
Non-Violent,Property,Theft Under $5000,138A AV/54A ST,12073,2025/01/10,-12626206.8039,7095187.0037
Non-Violent,Property,Fraud - Financial,118 ST SW/21 AV SW,12074,2025/01/10,-12638024.0493,7059367.9151
Non-Violent,Property,Theft Under $5000,79 ST/98 AV,12076,2025/01/10,-12629115.535,7083051.2915
Non-Violent,Property,Fraud - Financial,110 AV/83 ST,12079,2025/01/09,-12631319.1382,7086903.3947
Non-Violent,Property,Theft Under $5000,111 AV/110 ST,12080,2025/01/10,-12635901.9559,7087057.5047
Non-Violent,Property,Break and Enter Commercial,129 AV/129 AV,12083,2025/01/10,-12646633.0549,7091975.049
Non-Violent,Property,Break and Enter Commercial,73 AV/75 AV,12086,2025/01/10,-12634884.4061,7078142.4555
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,YELLOWHEAD TR/YELLOWHEAD TR,12088,2025/01/10,-12656445.902,7089151.4092
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,128 AV/155 ST,12089,2025/01/10,-12644562.7222,7091925.8899
Non-Violent,Property,Theft Under $5000,178 ST/89 AV,12091,2025/01/10,-12649246.1599,7080473.0577
Disorder,General Disorder,Trouble with Person,133A AV/82 ST,12092,2025/01/10,-12631110.7986,7093711.7447
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,122 AV/97 ST,12095,2025/01/10,-12633902.3034,7090389.7837
Disorder,Mischief/Graffiti,Mischief - Property,103 AV/104 ST,12096,2025/01/10,-12634677.5488,7084377.5264
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,12097,2025/01/10,-12636950.3814,7088310.2447
Non-Violent,Property,Fraud Personal,118 AV/86 ST,12098,2025/01/10,-12631717.1974,7089209.3344
Non-Violent,Property,Theft Under $5000,28 AV/MILL WOODS REC CENTRE ,12099,2025/01/10,-12628452.8978,7068241.2951
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,12100,2025/01/10,-12636950.3814,7088310.2447
Non-Violent,Property,Internet Fraud,75 ST/75 ST,12101,2025/01/10,-12628391.9051,7074745.2887
Disorder,General Disorder,Trespassing,101 ST/105A AV,12102,2025/01/10,-12634063.1299,7085140.6575
Non-Violent,Property,Theft Under $5000,167 AV/52A ST,12104,2025/01/09,-12625328.3985,7100128.8683
Weapons,Weapons Violations,Weapons Complaint,116 AV/36 ST,12105,2025/01/11,-12623224.665,7088871.8112
Disorder,General Disorder,Trouble with Person,112 AV/55 ST,12106,2025/01/10,-12626539.0857,7088622.8871
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,12107,2025/01/05,-12636950.3814,7088310.2447
Non-Violent,Property,Internet Fraud,184 ST/99 AV,12108,2025/01/04,-12650335.9664,7082722.497
Disorder,Disputes/Disturbances,Dispute,17 ST/19 AV,12109,2025/01/05,-12620195.6857,7066751.012
Disorder,General Disorder,Trouble with Person,WHITEMUD DR/WHITEMUD DR,12110,2025/01/04,-12619574.6063,7072701.7477
Non-Violent,Property,Internet Fraud,22 AV/28 ST,12111,2025/01/03,-12621741.7735,7067197.528
Non-Violent,Property,Break and Enter Residential,AIRPORT RD/AIRPORT RD,12112,2025/01/05,-12636826.2502,7088554.9641
Non-Violent,Property,Fraud General,99 ST/PARSONS RD,12113,2025/01/05,-12632794.3487,7065261.03
Non-Violent,Property,Internet Fraud,15 AV/20 ST,12114,2025/01/04,-12620416.2591,7065451.0737
Disorder,General Disorder,Trouble with Person,106 ST/51 AV,12115,2025/01/05,-12635249.3816,7073828.4899
Non-Violent,Property,Theft Under $5000,23 AV/98 ST,12116,2025/01/05,-12632862.5599,7067351.5733
Non-Violent,Property,Break and Enter Commercial,48 ST/92 AV,12117,2025/01/05,-12624858.6881,7081028.2803
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,12118,2025/01/05,-12624378.4956,7094314.4636
Disorder,General Disorder,Trouble with Person,142 AV/145 AV,12119,2025/01/04,-12622249.8327,7095872.411
Non-Violent,Property,Break and Enter Commercial,105 AV/172 ST,12120,2025/01/04,-12647883.8513,7085131.4704
Non-Violent,Property,Theft of Motor Vehicle,157 ST/87 AV,12122,2025/01/05,-12644972.2033,7079644.0938
Non-Violent,Property,Theft of Motor Vehicle,109 AV/156 ST,12123,2025/01/05,-12644825.3172,7086167.1014
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,12124,2025/01/05,-12637398.478,7088630.7819
Non-Violent,Property,Theft Under $5000,178 ST/STONY PLAIN RD,12125,2025/01/05,-12648960.7767,7083705.2264
Non-Violent,Property,Internet Fraud,129 ST/SHERBROOKE AV,12126,2025/01/02,-12639805.3194,7090618.3178
Disorder,Mischief/Graffiti,Mischief - Property,80 ST/141 AV,12127,2025/01/05,-12630791.7512,7095472.5753
Disorder,General Disorder,Trouble with Person,100 ST/107 AV,12129,2025/01/05,-12633881.6929,7085572.8518
Disorder,General Disorder,Suspicious Vehicle,128 AV/144 ST,12130,2025/01/05,-12642345.329,7091939.5798
Weapons,Weapons Violations,Weapons Complaint,137 AV/NORTHGATE MALL RD,12131,2025/01/05,-12633448.2707,7094668.6492
Violent,Personal Violence,Assault,YELLOWHEAD TR/YELLOWHEAD TR,12132,2025/01/05,-12644285.0623,7091101.4848
Non-Violent,Property,Break and Enter Residential,104 AV/162 ST,12133,2025/01/06,-12646003.3437,7084712.8877
Non-Violent,Property,Theft of Motor Vehicle,124A AV/126 AV,12134,2025/01/06,-12625338.5958,7091832.994
Violent,Personal Violence,Assault,104 ST/104 ST,12135,2025/01/04,-12634123.6729,7066731.7825
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,67 ST/76 AV,12136,2025/01/06,-12626853.6139,7078341.5476
Non-Violent,Property,Break and Enter Residential,WESTBROOK DR/WESTBROOK DR,12137,2025/01/06,-12641141.3913,7070359.3256
Non-Violent,Property,Theft Over $5000,167 AV/59A ST,12138,2025/01/06,-12627050.1571,7100137.9663
Disorder,General Disorder,Trespassing,82 AV/82 AV,12139,2025/01/05,-12629840.9472,7079393.0004
Non-Violent,Property,Theft Under $5000,118 AV/65 ST,12140,2025/01/06,-12628252.7931,7089206.037
Non-Violent,Property,Internet Fraud,20 AV/28 ST,12141,2025/01/06,-12621736.6731,7066728.8617
Non-Violent,Property,Fraud General,50 ST/CAPILANO PARK RD,12142,2025/01/03,-12625700.0757,7087511.4422
Non-Violent,Property,Possession Stolen Property,118 AV/34 ST,12144,2025/01/06,-12622930.4197,7089206.9916
Disorder,Mischief/Graffiti,Mischief - Property,44B AV/33 ST,12145,2025/01/06,-12622691.3024,7073166.6332
Disorder,General Disorder,Trespassing,G A MACDONALD AV/G A MACDONALD AV,12147,2025/01/06,-12633932.5572,7071514.4239
Non-Violent,Property,Theft of Motor Vehicle,103 AV/ST ALBERT TR,12148,2025/01/03,-12639619.4371,7087313.3582
Disorder,General Disorder,Trespassing,170 ST/90 AV,12149,2025/01/06,-12647603.7509,7080678.9161
Non-Violent,Property,Theft Under $5000,108 ST/JASPER AV,12150,2025/01/06,-12635496.6847,7083689.0444
Violent,Personal Violence,Robbery Personal,104 AV/104 ST,12151,2025/01/03,-12634673.6248,7085072.5371
Non-Violent,Property,Theft Under $5000,42 ST/42 ST,12152,2025/01/05,-12624346.5727,7094363.8511
Disorder,General Disorder,Trouble with Person,122 AV/92 ST,12154,2025/01/05,-12632835.3053,7090378.1402
Non-Violent,Property,Theft of Motor Vehicle,102 ST/135A AV,12155,2025/01/11,-12634258.4418,7094307.7239
Non-Violent,Property,Break and Enter Residential,94A AV/230 ST,12201,2025/01/13,-12658404.9029,7081775.9979
Non-Violent,Property,Possession Stolen Property,106 AV/97 ST,12202,2025/01/13,-12633508.7681,7085431.9917
Non-Violent,Property,Theft of Motor Vehicle,114 AV/GROAT RD,12203,2025/01/14,-12640489.9715,7087868.6997
Non-Violent,Property,Internet Fraud,127 ST/152 AV,12204,2025/01/13,-12639353.5847,7097641.4576
Non-Violent,Property,Theft Under $5000,101 ST/129 AV,12205,2025/01/14,-12634061.7665,7092390.0413
Non-Violent,Property,Internet Fraud,104 AV/110 ST,12206,2025/01/13,-12635899.9312,7084681.4701
Non-Violent,Property,Theft Under $5000,110 ST/111 AV,12207,2025/01/13,-12635901.9559,7087057.5047
Non-Violent,Property,Theft Under $5000,102 AV/154 ST,12208,2025/01/13,-12644425.9688,7084127.42
Non-Violent,Property,Break and Enter Residential,105 AV/153 ST,12209,2025/01/14,-12644233.139,7085005.2841
Non-Violent,Property,Theft of Motor Vehicle,135A AV/136 ST,12210,2025/01/14,-12640893.8579,7094219.03589999
Violent,Personal Violence,Robbery Commercial,121 AV/127 ST,12211,2025/01/14,-12639347.1235,7090094.2189
Non-Violent,Property,Theft Under $5000,50 ST/50 ST,12212,2025/01/14,-12625131.7752,7094292.3132
Non-Violent,Property,Theft Under $5000,158 AV/98 ST,12213,2025/01/14,-12634035.2338,7098345.33649999
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,12214,2025/01/14,-12625048.6376,7094220.1598
Violent,Personal Violence,Assault,104 AV/106 ST,12215,2025/01/14,-12635085.0348,7084681.1877
Violent,Personal Violence,Assault,KING WN SW/KING WN SW,12216,2025/01/06,-12649608.0976,7059835.0073
Non-Violent,Property,Theft Under $5000,137 AV/97 ST,12217,2025/01/06,-12633739.4124,7094653.7433
Non-Violent,Property,Internet Fraud,135A AV/32 ST,12218,2025/01/03,-12622533.0001,7094238.8441
Disorder,General Disorder,Trespassing,104 AV/104 ST,12219,2025/01/06,-12634673.6248,7085072.5371
Non-Violent,Property,Fraud Personal,ERASMUS CR/EDGEMONT WY,12220,2025/01/06,-12654019.6236,7070968.0503
Non-Violent,Property,Possession Stolen Property,127 ST/185 AV,12221,2025/01/06,-12639347.975,7103606.1754
Disorder,General Disorder,Trouble with Person,106 ST/107 AV,12222,2025/01/06,-12635086.6039,7085652.5205
Non-Violent,Property,Theft Under $5000,102 AV/102 ST,12223,2025/01/06,-12634268.3546,7084091.8073
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12224,2025/01/06,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12225,2025/01/06,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,101 ST/111 AV,12226,2025/01/06,-12634064.8545,7087054.38
Non-Violent,Property,Fraud - Financial,70 ST SW/70 ST SW,12227,2025/01/06,-12629325.9105,7060598.1505
Disorder,General Disorder,Trouble with Person,39 AV/39 AV,12228,2025/01/06,-12628519,7071527.6929
Non-Violent,Property,Theft Under $5000,139 AV/42 ST,12229,2025/01/06,-12624415.05,7094813.6596
Disorder,General Disorder,Trespassing,NOT NAMED RD/NOT NAMED RD,12230,2025/01/06,-12637039.3114,7080881.8606
Non-Violent,Property,Fraud General,127 AV/68 ST,12231,2025/01/06,-12628762.9193,7091953.6137
Disorder,General Disorder,Trespassing,120 AV/87 ST,12232,2025/01/06,-12631914.296,7089801.12
Violent,Personal Violence,Assault,116 AV/87 ST,12233,2025/01/06,-12631958.2762,7088638.2231
Non-Violent,Property,Theft Under $5000,23 AV/PARSONS RD,12234,2025/01/03,-12632521.2514,7067283.6591
Non-Violent,Property,Theft Under $5000,103 AV/107 ST,12235,2025/01/06,-12635290.6722,7084377.2468
Non-Violent,Property,Theft of Motor Vehicle,51 AV/51 AV,12236,2025/01/07,-12632055.8121,7073772.1648
