Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Theft Under $5000,123A ST/137 AV,15601,2025/03/13,-12638651.3676,7094666.3579
Disorder,Mischief/Graffiti,Mischief - Property,111 AV/KINGSWAY ,15602,2025/03/13,-12635203.2662,7087059.658
Non-Violent,Property,Theft Under $5000,137 AV/97 ST,15603,2025/03/13,-12633739.4124,7094653.7433
Non-Violent,Property,Theft Under $5000,19 AV/99 ST,15604,2025/03/12,-12633117.2276,7066276.3346
Non-Violent,Property,Theft Under $5000,83 AV/83 AV,15605,2025/03/13,-12629624.9169,7079587.1933
Non-Violent,Property,Theft Over $5000,79 ST/94 AV,15606,2025/03/12,-12628981.9768,7081731.9198
Non-Violent,Property,Fraud - Financial,68 ST SW/STANTON DR SW,15607,2025/03/13,-12628667.6443,7061134.4012
Non-Violent,Property,Theft of Motor Vehicle,102 AV/101 ST,15608,2025/03/13,-12634063.6162,7084103.3236
Non-Violent,Property,Theft of Motor Vehicle,127 AV/127 AV,15609,2025/03/13,-12630567.6723,7091929.2341
Non-Violent,Property,Theft of Motor Vehicle,106 ST/70 AV,15610,2025/03/13,-12635254.0696,7077256.08910001
Non-Violent,Property,Theft Under $5000,109 ST/82 AV,15611,2025/03/13,-12636103.1392,7079413.4363
Non-Violent,Property,Theft Under $5000,102 AV/104 ST,15612,2025/03/13,-12635802.8901,7084079.9169
Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,ARGYLL RD/ARGYLL RD,15613,2025/03/13,-12627850.9297,7077990.4476
Disorder,General Disorder,Suspicious Person,134 AV/96 ST,15614,2025/03/13,-12633687.3425,7093977.7682
Disorder,Disputes/Disturbances,Dispute,WHITEMUD DR/WHITEMUD DR,15615,2025/03/13,-12634375.2782,7072226.4864
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,55 ST/55 ST,15616,2025/03/13,-12626529.7172,7091246.0622
Non-Violent,Property,Theft Under $5000,131A ST/131A ST,15617,2025/03/13,-12640473.251,7099032.7496
Disorder,Mischief/Graffiti,Graffiti,102 ST/JASPER AV,15618,2025/03/14,-12634269.2264,7083689.0485
Disorder,Disputes/Disturbances,Dispute,105A ST/67 AV,15619,2025/03/11,-12635051.7152,7076680.304
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,115 AV/82 ST,15620,2025/03/13,-12631120.9229,7088353.8394
Non-Violent,Property,Break and Enter Residential,127 ST/YELLOWHEAD TR,15621,2025/03/13,-12639348.0305,7091045.2234
Non-Violent,Property,Theft Under $5000,54 ST SW/6 AV SW,15622,2025/03/13,-12626512.4039,7062459.5643
Non-Violent,Property,Theft Under $5000,175 ST/STONY PLAIN RD,15623,2025/03/14,-12648183.4143,7083771.2949
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,YELLOWHEAD TR/YELLOWHEAD TR,15624,2025/03/13,-12622345.4052,7090389.6103
Non-Violent,Property,Fraud - Financial,GREENOUGH CP/GREENOUGH CP,15625,2025/03/13,-12655401.857,7077245.8097
Disorder,Provincial Statute Violations,Intoxicated Person,180 ST/STONY PLAIN RD,15626,2025/03/14,-12649542.9182,7083693.2184
Non-Violent,Property,Theft of Motor Vehicle,129 AV/70 ST,15627,2025/03/14,-12629107.4956,7092442.0884
Disorder,Mischief/Graffiti,Mischief - Property,103 ST/JASPER AV,15628,2025/03/14,-12634473.5157,7083687.9695
Disorder,General Disorder,Trespassing,100 AV/104 ST,15629,2025/03/14,-12634682.0728,7083298.9738
Non-Violent,Property,Theft of Motor Vehicle,157 AV/80 ST,15630,2025/03/13,-12630896.7398,7098247.7818
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,15 AV/15 AV,15631,2025/03/13,-12629516.493,7065676.0031
Non-Violent,Property,Theft Under $5000,175 ST/NOT NAMED RD,15632,2025/03/14,-12648400.5204,7083610.9915
Disorder,Mischief/Graffiti,Mischief - Property,6 AV SW/71 ST SW,15633,2025/03/14,-12628872.0451,7062515.1885
Non-Violent,Property,Theft Under $5000,178 ST/89 AV,15634,2025/03/13,-12649246.1599,7080473.0577
Non-Violent,Property,Theft Under $5000,104 ST/67 AV,15635,2025/03/13,-12634504.5667,7076667.7387
Violent,Personal Violence,Assault,25 AV/29 ST,15636,2025/03/13,-12621735.7572,7067668.909
Disorder,Mischief/Graffiti,Mischief - Property,106 AV/78 ST,15637,2025/03/13,-12628940.7468,7085265.8906
Non-Violent,Property,Break and Enter Residential,117 ST/24 AV,15638,2025/03/14,-12638276.048,7067546.9501
Violent,Personal Violence,Assault,103A AV/99 ST,15639,2025/03/14,-12633592.3269,7084693.1962
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,15640,2025/03/14,-12636561.6515,7067320.0248
Weapons,Weapons Violations,Weapons Complaint,COLISEUM TC/COLISEUM TC,15641,2025/03/14,-12630172.4774,7089330.6289
Non-Violent,Property,Theft Under $5000,100 AV/100 AV,15642,2025/03/14,-12649050.8662,7083118.5691
Non-Violent,Property,Fraud General,33 AV/33 AV,15643,2025/03/14,-12630489.1174,7069262.75
Non-Violent,Property,Break and Enter Commercial,100A ST/102 AV,15644,2025/03/14,-12633922.2098,7084123.14549999
Non-Violent,Property,Break and Enter Commercial,76 AV/76 AV,15645,2025/03/14,-12627623.207,7078332.2586
Non-Violent,Property,Fraud General,178 ST/89 AV,15646,2025/03/14,-12649246.1599,7080473.0577
Violent,Personal Violence,Assault,137 AV/97 ST,15647,2025/03/14,-12633739.4124,7094653.7433
Non-Violent,Property,Internet Fraud,OAKES GT/OEMING RD,15648,2025/03/14,-12642731.5696,7069756.1973
Non-Violent,Property,Theft Under $5000,172 ST/95 AV,15649,2025/03/14,-12647989.9566,7081936.3709
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,108 AV/95 ST,15650,2025/03/14,-12632988.6706,7086277.923
Non-Violent,Property,Fraud Personal,53 AV/89 ST,15651,2025/03/13,-12630765.2672,7074120.6026
Weapons,Weapons Violations,Weapons Complaint,139 AV/139 AV,15652,2025/03/14,-12624733.9102,7095198.5878
Disorder,General Disorder,Trouble with Person,102 AV/71 ST,15653,2025/03/14,-12627736.3045,7084097.9757
Disorder,General Disorder,Suspicious Vehicle,34 AV/GATEWAY BV,15654,2025/03/14,-12633877.7725,7070003.4582
Non-Violent,Property,Theft Under $5000,110 AV/132 ST,15655,2025/03/14,-12640283.6242,7086758.2021
Disorder,Mischief/Graffiti,Mischief - Property,106 AV/96 ST,15656,2025/03/04,-12633141.5007,7085527.5299
Non-Violent,Property,Theft Under $5000,STADIUM RD/STADIUM TC,15657,2025/03/03,-12631789.2175,7087275.8187
Non-Violent,Property,Fraud - Financial,144 ST/83 AV,15658,2025/03/04,-12642421.252,7079033.3827
Non-Violent,Property,Theft Under $5000,17 ST/WHITEMUD DR,15659,2025/03/04,-12620173.6617,7072563.5139
Non-Violent,Property,Theft Under $5000,MCMULLEN GR SW/MCMULLEN PL SW,15660,2025/03/04,-12636974.2374,7062460.7183
Non-Violent,Property,Theft Under $5000,139 AV/40 ST,15661,2025/03/04,-12624098.5107,7094767.5814
Drugs,Drug Violations,Drugs,111 AV/111 AV,15662,2025/03/04,-12644644.6701,7087049.1611
Violent,Personal Violence,Assault,172A AV/172A AV,15663,2025/03/04,-12627473.9834,7101093.8812
Non-Violent,Property,Theft Under $5000,COLISEUM TC/COLISEUM TC,15664,2025/03/04,-12630172.4774,7089330.6289
Non-Violent,Property,Theft Under $5000,100 ST/105A AV,15665,2025/03/04,-12633845.0477,7085163.5066
Non-Violent,Property,Fraud General,28 AV/YOUVILLE DR,15666,2025/03/04,-12626469.9686,7068443.8341
Disorder,General Disorder,Suspicious Vehicle,26 AV/92 ST,15667,2025/03/04,-12631503.405,7067685.2108
Disorder,Disputes/Disturbances,Dispute,EAST GT/EAST BE,15668,2025/03/03,-12652957.3618,7070928.5033
Non-Violent,Property,Theft of Motor Vehicle,105A ST/CASTLE DR,15669,2025/03/03,-12635305.9546,7103109.4085
Violent,Personal Violence,Robbery Personal,103 AV/107 ST,15670,2025/03/04,-12635290.6722,7084377.2468
Violent,Personal Violence,Assault,186 ST/222 ST,15671,2025/03/04,-12657025.7627,7084096.843
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,15672,2025/03/04,-12625048.6376,7094220.1598
Non-Violent,Property,Fraud General,KING WN SW/KING WN SW,15673,2025/03/04,-12649608.0976,7059835.0073
Non-Violent,Property,Theft Under $5000,112 ST/157A AV,15674,2025/03/04,-12636540.2637,7098288.7534
Non-Violent,Property,Theft Under $5000,JAMES CR/JOHNS RD,15675,2025/03/04,-12624157.6179,7072658.4758
Non-Violent,Property,Theft of Motor Vehicle,51 AV/51 AV,15676,2025/03/04,-12633316.5444,7073794.2561
